rha,age_lower,age_upper,age_cat,men,women,total
1,0,9,0-9,45659,43263,88922
1,10,19,10-19,45484,43224,88708
1,20,39,20-39,113353,113262,226615
1,40,59,40-59,103122,102914,206036
1,60,120,60-125,78666,95494,174160
2,0,9,0-9,11485,10662,22147
2,10,19,10-19,10713,10076,20789
2,20,39,20-39,21813,21805,43618
2,40,59,40-59,20533,20673,41206
2,60,120,60-125,20600,23098,43698
3,0,9,0-9,7985,7656,15641
3,10,19,10-19,7916,7519,15435
3,20,39,20-39,15699,15026,30725
3,40,59,40-59,17739,17583,35322
3,60,120,60-125,17435,17568,35003
4,0,9,0-9,8015,7603,15618
4,10,19,10-19,6692,6512,13204
4,20,39,20-39,10931,10951,21882
4,40,59,40-59,8670,8249,16919
4,60,120,60-125,4684,4521,9205
5,0,9,0-9,16879,15907,32786
5,10,19,10-19,15540,14711,30251
5,20,39,20-39,28137,27604,55741
5,40,59,40-59,24812,24361,49173
5,60,120,60-125,19275,20629,39904
